iter	RMSE
0	210.5465401
1	210.546537
2	210.5465355
3	210.5465353
4	210.5465353
5	210.5465353
6	210.5465353
7	210.5465345
8	210.5465341
9	210.5465341
10	210.5465341
11	210.5465341
12	210.5465341
13	210.5465341
14	210.5465339
15	210.5465329
16	210.5465329
17	210.5465311
18	210.5465311
19	210.5465311
20	210.546531
21	210.5465307
22	210.5465296
23	210.5465296
24	210.5465296
25	210.5465296
26	210.5465296
27	210.5465296
28	210.5465293
29	210.5465289
30	210.5465288
31	210.5465288
32	210.5465288
33	210.5465288
34	210.5465288
35	210.5465287
36	210.5465286
37	210.5465286
38	210.5465286
39	210.5465286
40	210.5465286
41	210.5465286
42	210.5465286
43	210.5465286
44	210.5465284
45	210.5465284
46	210.5465284
47	210.5465284
48	210.5465284
49	210.5465283
50	210.5465283
51	210.5465283
52	210.5465283
53	210.5465283
54	210.5465283
55	210.5465283
56	210.5465283
57	210.5465281
58	210.5465281
59	210.5465281
60	210.5465281
61	210.5465281
62	210.5465281
63	210.5465281
64	210.5465281
65	210.5465281
66	210.546528
67	210.546528
68	210.546528
69	210.546528
70	210.546528
71	210.546528
72	210.5465279
73	210.5465279
74	210.5465279
75	210.5465279
76	210.5465279
77	210.5465279
78	210.5465279
79	210.5465279
80	210.5465279
81	210.5465279
82	210.5465279
83	210.5465279
84	210.5465279
85	210.5465279
86	210.5465279
87	210.5465279
88	210.5465279
89	210.5465279
90	210.5465279
91	210.5465279
92	210.5465279
93	210.5465279
94	210.5465279
95	210.5465279
96	210.5465279
97	210.5465279
98	210.5465279
99	210.5465279
100	210.5465279
101	210.5465278
102	210.5465278
103	210.5465278
104	210.5465278
105	210.5465278
106	210.5465278
107	210.5465278
108	210.5465278
109	210.5465278
110	210.5465278
111	210.5465278
112	210.5465278
113	210.5465278
114	210.5465278
115	210.5465278
116	210.5465278
117	210.5465278
118	210.5465278
119	210.5465278
120	210.5465278
121	210.5465278
122	210.5465278
123	210.5465278
124	210.5465278
125	210.5465278
126	210.5465278
127	210.5465278
128	210.5465278
129	210.5465278
130	210.5465278
131	210.5465278
132	210.5465278
133	210.5465278
134	210.5465278
135	210.5465278
136	210.5465278
137	210.5465278
138	210.5465278
139	210.5465278
140	210.5465278
141	210.5465278
142	210.5465278
143	210.5465278
144	210.5465278
145	210.5465278
146	210.5465278
147	210.5465278
148	210.5465278
149	210.5465278
150	210.5465278
151	210.5465278
152	210.5465278
153	210.5465278
154	210.5465278
155	210.5465278
156	210.5465278
157	210.5465278
158	210.5465278
159	210.5465278
160	210.5465278
161	210.5465278
162	210.5465278
163	210.5465278
164	210.5465278
165	210.5465278
166	210.5465278
167	210.5465278
168	210.5465278
169	210.5465278
170	210.5465278
171	210.5465278
172	210.5465278
173	210.5465278
174	210.5465278
175	210.5465278
176	210.5465278
177	210.5465278
178	210.5465278
179	210.5465278
180	210.5465278
181	210.5465278
182	210.5465278
183	210.5465278
184	210.5465278
185	210.5465278
186	210.5465278
187	210.5465278
188	210.5465278
189	210.5465278
190	210.5465278
191	210.5465278
192	210.5465278
193	210.5465278
194	210.5465278
195	210.5465278
196	210.5465278
197	210.5465278
198	210.5465278
199	210.5465278
200	210.5465278
201	210.5465278
202	210.5465278
203	210.5465278
204	210.5465278
205	210.5465278
206	210.5465278
207	210.5465278
208	210.5465278
209	210.5465278
210	210.5465278
211	210.5465278
212	210.5465278
213	210.5465278
214	210.5465278
215	210.5465278
216	210.5465278
217	210.5465278
218	210.5465278
219	210.5465278
220	210.5465278
221	210.5465278
222	210.5465278
223	210.5465278
224	210.5465278
225	210.5465278
226	210.5465278
227	210.5465278
228	210.5465278
229	210.5465278
230	210.5465278
231	210.5465278
232	210.5465278
233	210.5465278
234	210.5465278
235	210.5465278
236	210.5465278
237	210.5465278
238	210.5465278
239	210.5465278
240	210.5465278
241	210.5465278
242	210.5465278
243	210.5465278
244	210.5465278
245	210.5465278
246	210.5465278
247	210.5465278
248	210.5465278
249	210.5465278
250	210.5465278
251	210.5465278
252	210.5465278
253	210.5465278
254	210.5465278
255	210.5465278
256	210.5465278
257	210.5465278
258	210.5465278
259	210.5465278
260	210.5465278
261	210.5465278
262	210.5465278
263	210.5465278
264	210.5465278
265	210.5465278
266	210.5465278
267	210.5465278
268	210.5465278
269	210.5465278
270	210.5465278
271	210.5465278
272	210.5465278
273	210.5465278
274	210.5465278
275	210.5465278
276	210.5465278
277	210.5465278
278	210.5465278
279	210.5465278
280	210.5465278
281	210.5465278
282	210.5465278
283	210.5465278
284	210.5465278
285	210.5465278
286	210.5465278
287	210.5465278
288	210.5465278
289	210.5465278
290	210.5465278
291	210.5465278
292	210.5465278
293	210.5465278
294	210.5465278
295	210.5465278
296	210.5465278
297	210.5465278
298	210.5465278
299	210.5465278
300	210.5465278
301	210.5465278
302	210.5465278
303	210.5465278
304	210.5465278
305	210.5465278
306	210.5465278
307	210.5465278
308	210.5465278
309	210.5465278
310	210.5465278
311	210.5465278
312	210.5465278
313	210.5465278
314	210.5465278
315	210.5465278
316	210.5465278
317	210.5465278
318	210.5465278
319	210.5465278
320	210.5465278
321	210.5465278
322	210.5465278
323	210.5465278
324	210.5465278
325	210.5465278
326	210.5465278
327	210.5465278
328	210.5465278
329	210.5465278
330	210.5465278
331	210.5465278
332	210.5465278
333	210.5465278
334	210.5465278
335	210.5465278
336	210.5465278
337	210.5465278
338	210.5465278
339	210.5465278
340	210.5465278
341	210.5465278
342	210.5465278
343	210.5465278
344	210.5465278
345	210.5465278
346	210.5465278
347	210.5465278
348	210.5465278
349	210.5465278
350	210.5465278
351	210.5465278
352	210.5465278
353	210.5465278
354	210.5465278
355	210.5465278
356	210.5465278
357	210.5465278
358	210.5465278
359	210.5465278
360	210.5465278
361	210.5465278
362	210.5465278
363	210.5465278
364	210.5465278
365	210.5465278
366	210.5465278
367	210.5465278
368	210.5465278
369	210.5465278
370	210.5465278
371	210.5465278
372	210.5465278
373	210.5465278
374	210.5465278
375	210.5465278
376	210.5465278
377	210.5465278
378	210.5465278
379	210.5465278
380	210.5465278
381	210.5465278
382	210.5465278
383	210.5465278
384	210.5465278
385	210.5465278
386	210.5465278
387	210.5465278
388	210.5465278
389	210.5465278
390	210.5465278
391	210.5465278
392	210.5465278
393	210.5465278
394	210.5465278
395	210.5465278
396	210.5465278
397	210.5465278
398	210.5465278
399	210.5465278
400	210.5465278
401	210.5465278
402	210.5465278
403	210.5465278
404	210.5465278
405	210.5465278
406	210.5465278
407	210.5465278
408	210.5465278
409	210.5465278
410	210.5465278
411	210.5465278
412	210.5465278
413	210.5465278
414	210.5465278
415	210.5465278
416	210.5465278
417	210.5465278
418	210.5465278
419	210.5465278
420	210.5465278
421	210.5465278
422	210.5465278
423	210.5465278
424	210.5465278
425	210.5465278
426	210.5465278
427	210.5465278
428	210.5465278
429	210.5465278
430	210.5465278
431	210.5465278
432	210.5465278
433	210.5465278
434	210.5465278
435	210.5465278
436	210.5465278
437	210.5465278
438	210.5465278
439	210.5465278
440	210.5465278
441	210.5465278
442	210.5465278
443	210.5465278
444	210.5465278
445	210.5465278
446	210.5465278
447	210.5465278
448	210.5465278
449	210.5465278
450	210.5465278
451	210.5465278
452	210.5465278
453	210.5465278
454	210.5465278
455	210.5465278
456	210.5465278
457	210.5465278
458	210.5465278
459	210.5465278
460	210.5465278
461	210.5465278
462	210.5465278
463	210.5465278
464	210.5465278
465	210.5465278
466	210.5465278
467	210.5465278
468	210.5465278
469	210.5465278
470	210.5465278
471	210.5465278
472	210.5465278
473	210.5465278
474	210.5465278
475	210.5465278
476	210.5465278
477	210.5465278
478	210.5465278
479	210.5465278
480	210.5465278
481	210.5465278
482	210.5465278
483	210.5465278
484	210.5465278
485	210.5465278
486	210.5465278
487	210.5465278
488	210.5465278
489	210.5465278
490	210.5465278
491	210.5465278
492	210.5465278
493	210.5465278
494	210.5465278
495	210.5465278
496	210.5465278
497	210.5465278
498	210.5465278
499	210.5465278
500	210.5465278
501	210.5465278
502	210.5465278
503	210.5465278
504	210.5465278
505	210.5465278
506	210.5465278
507	210.5465278
508	210.5465278
509	210.5465278
510	210.5465278
511	210.5465278
512	210.5465278
513	210.5465278
514	210.5465278
515	210.5465278
516	210.5465278
517	210.5465278
518	210.5465278
519	210.5465278
520	210.5465278
521	210.5465278
522	210.5465278
523	210.5465278
524	210.5465278
525	210.5465278
526	210.5465278
527	210.5465278
528	210.5465278
529	210.5465278
530	210.5465278
531	210.5465278
532	210.5465278
533	210.5465278
534	210.5465278
535	210.5465278
536	210.5465278
537	210.5465278
538	210.5465278
539	210.5465278
540	210.5465278
541	210.5465278
542	210.5465278
543	210.5465278
544	210.5465278
545	210.5465278
546	210.5465278
547	210.5465278
548	210.5465278
549	210.5465278
550	210.5465278
551	210.5465278
552	210.5465278
553	210.5465278
554	210.5465278
555	210.5465278
556	210.5465278
557	210.5465278
558	210.5465278
559	210.5465278
560	210.5465278
561	210.5465278
562	210.5465278
563	210.5465278
564	210.5465278
565	210.5465278
566	210.5465278
567	210.5465278
568	210.5465278
569	210.5465278
570	210.5465278
571	210.5465278
572	210.5465278
573	210.5465278
574	210.5465278
575	210.5465278
576	210.5465278
577	210.5465278
578	210.5465278
579	210.5465278
580	210.5465278
581	210.5465278
582	210.5465278
583	210.5465278
584	210.5465278
585	210.5465278
586	210.5465278
587	210.5465278
588	210.5465278
589	210.5465278
590	210.5465278
591	210.5465278
592	210.5465278
593	210.5465278
594	210.5465278
595	210.5465278
596	210.5465278
597	210.5465278
598	210.5465278
599	210.5465278
600	210.5465278
601	210.5465278
602	210.5465278
603	210.5465278
604	210.5465278
605	210.5465278
606	210.5465278
607	210.5465278
608	210.5465278
609	210.5465278
610	210.5465278
611	210.5465278
612	210.5465278
613	210.5465278
614	210.5465278
615	210.5465278
616	210.5465278
617	210.5465278
618	210.5465278
619	210.5465278
620	210.5465278
621	210.5465278
622	210.5465278
623	210.5465278
624	210.5465278
625	210.5465278
626	210.5465278
627	210.5465278
628	210.5465278
629	210.5465278
630	210.5465278
631	210.5465278
632	210.5465278
633	210.5465278
634	210.5465278
635	210.5465278
636	210.5465278
637	210.5465278
638	210.5465278
639	210.5465278
640	210.5465278
641	210.5465278
642	210.5465278
643	210.5465278
644	210.5465278
645	210.5465278
646	210.5465278
647	210.5465278
648	210.5465278
649	210.5465278
650	210.5465278
651	210.5465278
652	210.5465278
653	210.5465278
654	210.5465278
655	210.5465278
656	210.5465278
657	210.5465278
658	210.5465278
659	210.5465278
660	210.5465278
661	210.5465278
662	210.5465278
663	210.5465278
664	210.5465278
665	210.5465278
666	210.5465278
667	210.5465278
668	210.5465278
669	210.5465278
670	210.5465278
671	210.5465278
672	210.5465278
673	210.5465278
674	210.5465278
675	210.5465278
676	210.5465278
677	210.5465278
678	210.5465278
679	210.5465278
680	210.5465278
681	210.5465278
682	210.5465278
683	210.5465278
684	210.5465278
685	210.5465278
686	210.5465278
687	210.5465278
688	210.5465278
689	210.5465278
690	210.5465278
691	210.5465278
692	210.5465278
693	210.5465278
694	210.5465278
695	210.5465278
696	210.5465278
697	210.5465278
