iter	Passed	Remaining
449	1116	1364
450	1116	1359
451	1130	1371
452	1131	1366
453	1137	1367
454	1146	1372
455	1148	1369
456	1148	1364
457	1150	1361
458	1150	1356
459	1151	1351
460	1151	1346
461	1151	1341
462	1154	1338
463	1154	1333
464	1158	1333
465	1158	1328
466	1166	1331
467	1168	1328
468	1169	1323
469	1169	1318
470	1175	1319
471	1175	1314
472	1175	1309
473	1181	1311
474	1181	1306
475	1182	1301
476	1182	1296
477	1184	1293
478	1184	1288
479	1190	1289
480	1195	1290
481	1195	1285
482	1197	1281
483	1202	1281
484	1202	1276
485	1204	1273
486	1210	1275
487	1213	1272
488	1215	1269
489	1219	1269
490	1223	1267
491	1223	1263
492	1225	1260
493	1225	1255
494	1227	1252
495	1231	1250
496	1231	1246
497	1231	1241
498	1233	1238
499	1235	1235
500	1235	1230
501	1241	1231
502	1241	1227
503	1242	1222
504	1242	1217
505	1248	1218
506	1248	1214
507	1248	1209
508	1249	1204
509	1255	1206
510	1261	1206
511	1261	1202
512	1289	1224
513	1295	1224
514	1295	1220
515	1304	1223
516	1308	1222
517	1312	1220
518	1312	1216
519	1312	1211
520	1315	1209
521	1318	1207
522	1318	1202
523	1334	1212
524	1334	1207
525	1337	1204
526	1362	1222
527	1362	1218
528	1367	1217
529	1369	1214
530	1371	1211
531	1374	1208
532	1374	1204
533	1393	1215
534	1397	1214
535	1401	1213
536	1403	1209
537	1403	1205
538	1403	1200
539	1404	1196
540	1404	1191
541	1405	1187
542	1405	1182
543	1414	1185
544	1421	1186
545	1423	1183
546	1425	1180
547	1435	1184
548	1440	1183
549	1440	1178
550	1453	1184
551	1468	1192
552	1485	1200
553	1485	1195
554	1485	1191
555	1485	1186
556	1486	1181
557	1486	1177
558	1492	1177
559	1492	1172
560	1496	1171
561	1498	1168
562	1498	1163
563	1504	1162
564	1506	1160
565	1508	1157
566	1510	1153
567	1511	1149
568	1511	1145
569	1511	1140
570	1513	1137
571	1514	1133
572	1517	1131
573	1518	1126
574	1520	1123
575	1520	1119
576	1523	1117
577	1523	1112
578	1527	1110
579	1527	1106
580	1529	1103
581	1551	1114
582	1551	1109
583	1555	1108
584	1561	1107
585	1561	1103
586	1562	1099
587	1562	1094
588	1563	1090
589	1566	1088
590	1567	1084
591	1572	1083
592	1574	1080
593	1576	1077
594	1576	1073
595	1582	1072
596	1582	1068
597	1582	1063
598	1582	1059
599	1583	1055
600	1586	1053
601	1588	1050
602	1589	1046
603	1589	1041
604	1589	1037
605	1594	1036
606	1597	1033
607	1597	1029
608	1601	1028
609	1601	1024
610	1607	1023
611	1607	1019
612	1610	1016
613	1614	1015
614	1616	1012
615	1616	1007
616	1616	1003
617	1617	999
618	1619	996
619	1619	992
620	1625	992
621	1629	990
622	1629	986
623	1631	982
624	1631	978
625	1633	975
626	1633	971
627	1635	968
628	1635	964
629	1643	965
630	1644	961
631	1644	957
632	1652	957
633	1656	956
634	1656	952
635	1658	949
636	1667	949
637	1691	960
638	1692	955
639	1692	952
640	1692	948
641	1693	944
642	1693	940
643	1699	939
644	1705	938
645	1714	939
646	1717	937
647	1717	933
648	1719	930
649	1721	927
650	1723	924
651	1724	920
652	1724	916
653	1734	917
654	1734	913
655	1734	909
656	1736	906
657	1736	902
658	1737	898
659	1739	895
660	1747	896
661	1747	892
662	1747	888
663	1751	886
664	1751	882
665	1755	880
666	1760	878
667	1762	876
668	1762	872
669	1763	868
670	1763	864
671	1763	860
672	1763	856
673	1774	858
674	1774	854
675	1774	850
676	1775	846
677	1775	843
678	1778	840
679	1779	837
680	1781	834
681	1783	831
682	1787	829
683	1787	825
684	1787	822
685	1790	819
686	1792	816
687	1793	813
688	1796	811
689	1800	809
690	1806	807
691	1806	804
692	1807	800
693	1810	798
